place_id,name,area,town,latitude,longitude,concept,price_tier,rating,reviews_count,high_rating,log_reviews,weekly_hours,dist_centre_km,log_density,is_claimed,own_website,social_page_only,has_phone,has_menu_link,online_ordering,has_attributes,table_service,delivery,takes_reservations,restroom,wifi,free_parking,kid_friendly,outdoor_seating,wheelchair_access,card_payments,digital_payments,open_late,opens_early,has_hours,is_chain,veg_only
ChIJ5x1xl7FZqDsRqXRhr09gqUg,Sharadhas Kitchen,Edayarpalayam,Coimbatore,11.04023,76.936602,Vegetarian,Not disclosed,3.7,38,0,3.6635616461296463,86.0,5.750593520631892,3.912023005428146,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ChIJUZCDZplYqDsRmvV9bE6uy00,Hotel Sri Lalithas,Balaji Nagar,Coimbatore,11.02396,76.978436,Vegetarian,Budget,3.9,1792,0,7.491645473605133,112.0,3.7570900285900994,3.970291913552122,1,0,0,1,0,0,1,1,1,0,1,0,1,1,0,0,1,1,0,1,1,0,1
ChIJ20reHgBZqDsRHlkEViRTfjc,Thanjai idly corner edayarpalayam,Edayarpalayam,Coimbatore,11.037721,76.923299,Multi-cuisine / General,Budget,4.1,88,0,4.48863636973214,97.0,6.3469808725257275,4.290459441148391,1,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0,1,1,0,1
ChIJe35aX-VYqDsRfdYc1unBtac,Oceana Hotel,Tatabad,Coimbatore,11.02417,76.951807,Biryani & Non-veg,Mid,3.9,1201,0,7.091742115095153,92.0,3.450725294741665,4.990432586778736,1,0,0,1,0,0,1,1,1,1,1,0,1,1,0,0,1,0,1,0,1,0,0
ChIJZ-LrlRVZqDsRvwSVhtXvGoA,NV Vaazhai Virundhu,Edayarpalayam,Coimbatore,11.049322,76.921374,Multi-cuisine / General,Not disclosed,5.0,14,1,2.70805020110221,19.0,7.490626162938524,2.995732273553991,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0
ChIJ8xBppjhZqDsRxMSm4_ztvng,KGF Restaurant,Edayarpalayam,Coimbatore,11.039703,76.928394,South Indian & Regional,Mid,3.9,192,0,5.262690188904886,77.0,6.174965265806022,4.477336814478207,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0
ChIJFYb0SrtZqDsR948yhWPWQPk,Meet U There Restaurant kannapanagar,Sanganoor,Coimbatore,11.035907,76.954702,Multi-cuisine / General,Not disclosed,4.8,71,1,4.276666119016055,88.5,4.650944430584392,3.332204510175204,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
ChIJ-bKrEwBZqDsRONmBGCewp1A,Mario Juicy,Kavandam,Coimbatore,11.03936,76.930092,Multi-cuisine / General,Budget,4.2,60,1,4.110873864173311,87.0,6.0372319039900875,4.454347296253507,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
ChIJn9vBw_lZqDsRx8E-Gad3X34,SRI SHYAM KULFI & ICE CREAM,Sanganoor,Coimbatore,11.035531,76.956457,Bakery & Desserts,Not disclosed,4.9,66,1,4.204692619390966,102.0,4.583184613848343,3.295836866004329,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
ChIJsTkqLgBZqDsRrWoVbf5eElk,Pinky PromICE Ice Creams,Edayarpalayam,Coimbatore,11.038607,76.925422,Bakery & Desserts,Not disclosed,4.9,229,1,5.438079308923196,84.0,6.274157982132838,4.382026634673881,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
ChIJ8eaDGKpZqDsRDwiXcJF9XHg,Chill n Heal Icecreams,Koundampalayam,Coimbatore,11.047536,76.931925,Bakery & Desserts,Not disclosed,4.5,16,1,2.833213344056216,59.5,6.707962796844084,3.6635616461296463,1,1,0,1,1,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0
ChIJ0bwR-S1ZqDsRLuNUZx1kk30,Boomerang Ice Cream,SB Mission Post,Coimbatore,11.025732,76.942748,Bakery & Desserts,Not disclosed,4.6,113,1,4.736198448394496,84.0,4.0159831901478755,5.0689042022202315,1,1,0,1,1,0,1,0,1,0,1,1,1,1,0,0,1,1,0,0,1,1,0
ChIJLVej-UxZqDsRgAJiFudKM40,UMA VINAYAGASUNDARAM,Nallampalayam,Coimbatore,11.046097,76.952388,Cafe & Beverages,Not disclosed,4.9,15,1,2.772588722239781,87.0,5.810069955499384,4.174387269895637,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ChIJXVJRpt1ZqDsR1aSBWlGBpLA,Martram's The South Indian Coffee House - Tatabad,Tatabad,Coimbatore,11.022503,76.95934,Cafe & Beverages,Not disclosed,4.7,459,1,6.131226489483141,98.0,3.1108085334187248,5.099866427824199,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
ChIJSTPebvlYqDsR0RfsfI-XyNc,CockRaCo,Tatabad,Coimbatore,11.020925,76.959415,Biryani & Non-veg,Mid,3.9,4273,0,8.360305435879093,77.0,2.935213710523783,5.147494476813453,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,1,0
